Symbol,ETF Name,Dividend Yield,Price Decay,Total Return
HOOY,YieldMax® HOOD Option Income Strategy ETF,101%,YES,65%
INYY,YieldMax INTC Option Income Strategy ETF,75%,YES,-13%
JPO,YieldMax® JPM Option Income Strategy ETF,19%,YES,57%
MARO,YieldMax® MARA Option Income Strategy ETF,85%,YES,-57%
MRNY,YieldMax® MRNA Option Income Strategy ETF,100%,YES,33%
MSFO,YieldMax® MSFT Option Income Strategy ETF,26%,YES,58%
MSTY,YieldMax® MSTR Option Income Strategy ETF,101%,YES,56%
NFLY,YieldMax® NFLX Option Income Strategy ETF,35%,YES,49%
NVDY,YieldMax® NVDA Option Income Strategy ETF,40%,YES,337%
OARK,YieldMax® Innovation Option Income Strategy ETF,36%,YES,55%
PLTY,YieldMax® PLTR Option Income Strategy ETF,40%,YES,178%
PYPY,YieldMax® PYPL Option Income Strategy ETF,30%,YES,-2%
RBLY,YieldMax® RBLX Option Income Strategy ETF,80%,YES,-56%
RDYY,YieldMax® RDDT Option Income Strategy ETF,55%,YES,-30%
SMCY,YieldMax® SMCI Option Income Strategy ETF,101%,YES,-37%
SNOY,YieldMax® SNOW Option Income Strategy ETF,61%,YES,134%
TSLY,YieldMax® TSLA Option Income Strategy ETF,51%,YES,31%
TSMY,YieldMax® TSM Option Income Strategy ETF,35%,YES,104%
WNTR,YieldMax® Short MSTR Option Income Strategy ETF,66%,YES,23%
XOMO,YieldMax® XOM Option Income Strategy ETF,25%,YES,27%
XYZY,YieldMax® XYZ Option Income Strategy ETF,35%,YES,38%
YBIT,YieldMax® Bitcoin Option Income Strategy ETF,76%,YES,-13%
YQQQ,YieldMax® Short N100 Option Income Strategy ETF,20%,YES,-17%
CHPY,YieldMax® Semiconductor Portfolio Option Income ETF,40%,NO,150%
GPTY,YieldMax® AI & Tech Portfolio Option Income ETF,35%,YES,50%
LFGY,YieldMax® Crypto Industry & Tech Portfolio Option Income ETF,45%,YES,6%
MINY,YieldMax® Strategic Metals & Mining Portfolio Option Income ETF,31%,YES,-13%
QDTY,YieldMax® Nasdaq 100 0DTE Covered Call ETF,29%,YES,22%
RDTY,YieldMax® R2000 0DTE Covered Call ETF,28%,YES,31%
SDTY,YieldMax® S&P 500 0DTE Covered Call ETF,21%,YES,22%
SLTY,YieldMax® Ultra Short Option Income Strategy ETF,55%,YES,-18%
ULTY,YieldMax® Ultra Option Income Strategy ETF,61%,YES,7%
YMAG,YieldMax® Magnificent 7 Fund of Option Income ETFs,34%,YES,69%
YMAX,YieldMax® Universe Fund of Option Income ETFs,40%,YES,40%
TSYX,TSPY LIFT ETF,20%,YES,8%
TDAX,TDAQ LIFT ETF,24%,NO,12%
ODTE,ODTE  VegaShares SPX NDX RTY Premium Income ETF,14%,NO,6%
SPCI,Tuttle Capital Space Industry Income Blast ETF,28%,YES,-6%
VAIE,VegaShares US Equity Autocallable Income ETF,17%,YES,2%
FEPI,Rex Fang & Innovation Equity Premium Income ETF,25%,YES,67%
AIPI,REX AI Equity Premium Income ETF,35%,YES,54%
CEPI,REX Crypto Equity Premium Income ETF,42%,YES,23%
MEMY,Tuttle Capital Meme Stock Income Blast ETF,25%,YES,-26%
